,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
78072,3.85,239.11247598,15.66473327,89.92,311.2,-1282.17,15.940831732,1991.25,Serpens
78104,3.87,239.22119438,-29.21401221,7.97,-15.2,-25.1,15.948079625333332,1991.25,Scorpius
78159,4.14,239.39709121,26.87802632,14.2,-76.55,-60.24,15.959806080666668,1991.25,Corona Borealis
78180,4.96,239.44830388,54.74950359,29.57,-150.18,106.47,15.963220258666666,1991.25,Draco
78207,4.95,239.54740116,-14.27931773,6.36,-12.29,-16.77,15.969826743999999,1991.25,Libra
78265,2.89,239.71300283,-26.1140428,7.1,-12.0,-25.71,15.980866855333334,1991.25,Scorpius
78323,4.99,239.87623269,-41.74439602,8.59,-37.76,-16.51,15.991748846,1991.25,Lupus
78384,3.42,240.03058543,-38.39664079,6.61,-16.58,-27.06,16.002039028666665,1991.25,Lupus
78401,2.29,240.08338225,-22.62162024,8.12,-8.67,-36.9,16.005558816666667,1991.25,Scorpius
78493,4.98,240.36079431,29.85107821,9.29,-38.2,-6.9,16.024052954,1991.25,Corona Borealis
78527,4.01,240.4737656,58.56443739,47.79,-320.07,334.96,16.031584373333335,1991.25,Draco
78554,4.82,240.57370453,22.80439543,18.42,4.57,24.04,16.038246968666666,1991.25,Serpens
78592,4.72,240.69937951,46.03685378,8.68,56.01,-61.25,16.046625300666665,1991.25,Hercules
78639,4.65,240.80358419,-49.22972074,14.97,41.18,10.39,16.053572279333334,1991.25,Norma
78650,4.96,240.83611243,-25.86514891,15.39,-67.89,-37.57,16.055740828666664,1991.25,Scorpius
78655,4.9,240.85084398,-38.60247122,6.19,-17.68,-28.54,16.056722932,1991.25,Lupus
78662,4.63,240.88425437,-57.77487351,23.26,-118.32,-78.34,16.058950291333336,1991.25,Norma
78820,2.56,241.35931206,-19.80539286,6.15,-6.75,-24.89,16.090620804,1991.25,Scorpius
78821,4.9,241.36073017,-19.80184191,2.88,-34.59,-7.47,16.090715344666666,1991.25,Scorpius
78914,4.73,241.6225984,-45.17327517,26.41,17.47,37.03,16.108173226666665,1991.25,Norma
78918,4.22,241.64815129,-36.80221297,7.94,-15.84,-31.06,16.109876752666665,1991.25,Lupus
78933,3.93,241.70180197,-20.66913479,7.7,-10.55,-23.73,16.113453464666666,1991.25,Scorpius
78990,4.31,241.85125058,-20.8686541,12.32,43.68,-45.3,16.123416705333334,1991.25,Scorpius
79101,4.23,242.19249715,44.93481883,14.27,-25.98,35.86,16.146166476666668,1991.25,Hercules
79119,4.73,242.24303566,36.49010935,28.84,-40.71,343.47,16.149535710666665,1991.25,Corona Borealis
79374,4.0,242.99891879,-19.46064684,7.47,-9.7,-25.25,16.199927919333334,1991.25,Scorpius
79375,4.93,243.00000648,-10.06418514,19.79,-21.92,-27.95,16.200000432,1991.25,Scorpius
79404,4.58,243.07588221,-27.92631564,6.97,-10.31,-23.17,16.205058814,1991.25,Scorpius
79509,4.95,243.36972631,-54.63041289,7.45,-5.33,-22.48,16.224648420666668,1991.25,Norma
79593,2.73,243.58652601,-3.69397562,19.16,-45.83,-142.91,16.239101734,1991.25,Ophiucus
79664,3.86,243.85944228,-63.68564897,5.25,3.51,-13.49,16.257296152,1991.25,Triangulum Australe
79790,4.97,244.25389798,-50.06811224,2.27,-2.24,-3.96,16.28359319866667,1991.25,Norma
79822,4.95,244.37708768,75.75470385,33.52,-89.94,257.8,16.291805845333332,1991.25,Ursa Minor
79881,4.8,244.57467023,-28.61377598,23.23,-33.79,-100.59,16.304978015333333,1991.25,Scorpius
79882,3.23,244.58016994,-4.69260809,30.34,82.39,40.08,16.305344662666666,1991.25,Ophiucus
79992,3.91,244.93519958,46.31327084,10.37,-13.15,39.31,16.329013305333334,1991.25,Hercules
80000,4.01,244.96069832,-50.15537923,25.58,-159.36,-52.84,16.330713221333333,1991.25,Norma
